sender, sequence, rssi
192.168.4.11, 47984, -84
192.168.4.11, 48336, -78
192.168.4.11, 48352, -73
192.168.4.11, 48384, -78
192.168.4.11, 48400, -83
192.168.4.11, 48528, -72
192.168.4.11, 48560, -73
192.168.4.11, 48592, -77
192.168.4.11, 48608, -75
192.168.4.11, 48640, -74
192.168.4.11, 48656, -75
192.168.4.11, 48672, -81
192.168.4.11, 48736, -75
192.168.4.11, 48752, -75
192.168.4.11, 48768, -79
192.168.4.11, 48816, -76
192.168.4.11, 48832, -75
192.168.4.11, 48864, -74
192.168.4.11, 48880, -74
192.168.4.11, 48896, -75
192.168.4.11, 48912, -74
192.168.4.11, 48944, -76
192.168.4.11, 48960, -73
192.168.4.11, 48992, -74
192.168.4.11, 49040, -75
192.168.4.11, 49056, -74
192.168.4.11, 49072, -73
192.168.4.11, 49136, -76
192.168.4.11, 49200, -79
192.168.4.11, 49216, -74
192.168.4.11, 49264, -81
192.168.4.11, 49344, -75
192.168.4.11, 49360, -75
192.168.4.11, 49392, -77
192.168.4.11, 49456, -75
192.168.4.11, 49472, -73
192.168.4.11, 49520, -75
192.168.4.11, 49552, -72
192.168.4.11, 49568, -70
192.168.4.11, 49648, -72
192.168.4.11, 49664, -72
192.168.4.11, 49680, -73
192.168.4.11, 49696, -81
192.168.4.11, 49712, -78
192.168.4.11, 49728, -81
192.168.4.11, 49744, -80
192.168.4.11, 49760, -76
192.168.4.11, 49808, -75
192.168.4.11, 49840, -73
192.168.4.11, 49984, -72
192.168.4.11, 50016, -74
192.168.4.11, 50048, -73
192.168.4.11, 50080, -73
192.168.4.11, 50096, -73
192.168.4.11, 50112, -73
192.168.4.11, 50144, -77
192.168.4.11, 50160, -75
192.168.4.11, 50208, -74
192.168.4.11, 50256, -75
192.168.4.11, 50272, -73
192.168.4.11, 50304, -77
192.168.4.11, 50320, -73
192.168.4.11, 50352, -76
192.168.4.11, 50480, -78
192.168.4.11, 50496, -75
192.168.4.11, 50560, -74
192.168.4.11, 50672, -75
192.168.4.11, 50688, -73
192.168.4.11, 50720, -75
192.168.4.11, 50736, -73
192.168.4.11, 50752, -74
192.168.4.11, 50768, -75
192.168.4.11, 50784, -75
192.168.4.11, 50800, -74
192.168.4.11, 50880, -74
192.168.4.11, 50896, -76
192.168.4.11, 50912, -75
192.168.4.11, 50928, -76
192.168.4.11, 50944, -76
192.168.4.11, 50976, -75
192.168.4.11, 50992, -75
192.168.4.11, 51024, -75
192.168.4.11, 51040, -73
192.168.4.11, 51056, -75
192.168.4.11, 51136, -72
192.168.4.11, 51168, -75
192.168.4.11, 51184, -74
192.168.4.11, 51200, -74
192.168.4.11, 51216, -74
192.168.4.11, 51248, -72
192.168.4.11, 51280, -73
192.168.4.11, 51296, -74
192.168.4.11, 51328, -74
192.168.4.11, 51376, -74
192.168.4.11, 51424, -74
192.168.4.11, 51440, -72
192.168.4.11, 51456, -74
192.168.4.11, 51472, -74
192.168.4.11, 51488, -73
192.168.4.11, 51504, -75
192.168.4.11, 51520, -74
192.168.4.11, 51536, -73
192.168.4.11, 51552, -71
192.168.4.11, 51584, -74
192.168.4.11, 51648, -73
192.168.4.11, 51664, -74
192.168.4.11, 51680, -75
192.168.4.11, 51712, -77
192.168.4.11, 51728, -79
192.168.4.11, 51744, -78
192.168.4.11, 51760, -77
192.168.4.11, 51776, -77
192.168.4.11, 51808, -75
192.168.4.11, 51824, -76
192.168.4.11, 51840, -76
192.168.4.11, 51920, -75
192.168.4.11, 52048, -77
192.168.4.11, 52176, -76
192.168.4.11, 52208, -76
192.168.4.11, 52224, -74
192.168.4.11, 52256, -77
192.168.4.11, 52272, -78
192.168.4.11, 52288, -79
192.168.4.11, 52304, -73
192.168.4.11, 52320, -73
192.168.4.11, 52336, -79
192.168.4.11, 52400, -80
192.168.4.11, 52432, -85
192.168.4.11, 52480, -80
192.168.4.11, 52528, -75
192.168.4.11, 52544, -84
192.168.4.11, 52560, -78
192.168.4.11, 52576, -83
192.168.4.11, 52768, -79
192.168.4.11, 52784, -81
192.168.4.11, 52800, -80
192.168.4.11, 52816, -79
192.168.4.11, 52832, -79
192.168.4.11, 52848, -75
192.168.4.11, 52864, -74
192.168.4.11, 52912, -75
192.168.4.11, 52928, -76
192.168.4.11, 52944, -74
192.168.4.11, 52960, -74
192.168.4.11, 52976, -74
192.168.4.11, 52992, -76
192.168.4.11, 53008, -75
192.168.4.11, 53024, -76
